1;61;WMZ;WMZ;840;1;1001100100111110111111111111111111111101111111111111111100000000101001100110111111110011111011100000100000101000000000000001010010011111111111111111111111111111111111000100001000111101010101000001011101000111010011110101
2;62;WMR;WMR;643;1;1000100000010000000000000000000000000000000000000000000000001000000000000110000000000000000000000000000000001000000000000001010010010000001000000110000000000000110100000000001000000000000000000000000000000101010001000000
3;64;WME;WME;978;1;0000000000000000000000000000000000000000000000000000000000001000000000000010111000000000011000000000000000000000000000000001010010010000000000000011111101000000010100000000000000000000000101000000000000000000000000000100
4;155;Беларусбанк;BYN БелБанк;974;3;1001111110111111110111111111111111111111111111111111111100111000000001111110111111111011100001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
55;146;Приват 24 USD;USD Приват24;840;3;1000100100111111110010000000010000111000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;74;ЮMoney;RUB ЮMoney;643;1;1011111110111111111111111111111111111111111111111111111111111000000101111111111111111011111111111000100000001100000000000001010010011111111111110011111111111111111111111100111100010111000101000000000000000000000001000000
7;202;WU RUB;RUB WU;643;4;1000100100111110110010000000010000111000100000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;124;Сбербанк;RUB Сбербанк;643;3;1011111111111111111111111111111111111111111111111111111111111100000001111110111111111111111001111000111010101100100011000110010010011111011111111011111111111111111101111100111111000111100111111000100000000000000010000000
48;38;OMG Network (OMG);OMG;105;0;1011111110111111111111111111111111111011111111111111111111111000000001111111111111111111110001100000000000001111000000000101011111111111111111111011111111111111111111111100111110111111100111111101100000001111110010110001
15;201;WU EUR;EUR WU;978;4;1000100100111110111010000000010000111000100000000000010000000000000001100000000010100010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18;65;WMB;WMB;974;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19;41;Binance Coin (BNB);BNB;109;0;1111111111111111111111111111111111111111111111111111111111111000000001111110111111111111111001111111110111111110000001000111011111111111111111111111111111111111111111111111111111111111101111111101100111111111111111110101
20;86;Advanced Cash TRY;TRY AdvCash;949;1;1011111111111111111111111111011001111101100110011111111111111000000001111110101111111011100001100000000000001000000001000011010010011111010111111011111111111111111111111100011110110111100011111000100000000000000000000000
43;3;Bitcoin BEP20 (BTC);BTC BEP20;967;0;1011111111111111111111111111011101111101100110111111111111111000000001111110101111111111100001100000000000001100000001000111010111111111111111111011111111111111111111111100111110110111100111111001100000000000000011000000
51;132;ВТБ;RUB ВТБ;643;3;1011111111111111111111111111111111111111111111111111111111111100000001111110111111111111100001100000101000101100100001000010000000001011010111011011111111111111100101111101110110010111101111111000100000000000000000000000
47;66;WMK;WMK;398;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40;70;Perfect Money USD;USD PM;840;1;1011111111111111111111111111111111111111111111111111111111111000000101111111111111111111111111111010101110111100110011000111011111111111111111111111111111111111111111111101111111111111101111111101111101101111111111111101
41;71;Perfect Money EUR;EUR PM;978;1;1011111111111111111111111111111111111111111111111111111111111000000101111111111111111111111011111000110100101100100011000011011111011111111111111111111111111111111111111101111111111111101111111101111001001111111111110000
45;77;PayPal USD;USD PayPal;840;1;1000100100000000000000000000000000100000000000000000000000001001001001100110000011100000011000000000000000000000000000000001010010011111111111110011111111011110111101000000000000000100000000000000000000000000000010010000
50;117;Exmo USDT;USDT Exmo;840;2;1000100100111000111110101100011000010101000000000000000000001000000001101110111011111011100001100000000000000000000000000000010010011111111111110111111111011111111101000100001000101000000000000000011001001111001110000000
52;126;Альфа-Банк;RUB Альфа-Банк;643;3;1011111110111111111111111111111111111111111111111111111111111100000001111110111111111111111001111000100000001100100001000000000000000000000000000011111111001110100101001000110010000101100001000000100000000000000000000000
53;135;Промсвязьбанк;RUB ПСБанк;643;3;1011111111111111111111111111111111111111111111111111111111111100000001111100111111111111100001100000110000101100000000000010000000001011010111001011111111111101000101111101110110010110101111111000100000000000000010000000
49;109;Счет телефона RUB;RUB Баланс;643;1;1010110110111111111111111111011101111111100110111111011111001000000001111110111111111011100001100000100000000100000000000001010010011111111111110011111111111110111111111100111110010111000000000000000000000000000000000000
54;165;Visa/MasterCard BYN;BYN Карта;974;3;1001111110111111110111111111111111111111111111111111111100111000000001111110111111111011100001100000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
56;147;Приват 24 UAH;UAH Приват24;980;3;1011111111111111111111111111111101111111111110111111111111111000001001111110111111111111110011100000111100001100101011000111010010011111111111111011111111111111111111111100111110010111100111111001100000000000000010000000
44;90;Skrill USD;USD Skrill;840;1;1000100100111110111111111110010001111000100000000000010000001001001001100110111011100010000011010000000000000000000000000001010010011111111111110011111111011110111101000000000000101000000000000100000000000000000011100001
